Component Name,,Quantity,Price,Purchase Link
Arduino Uno R3,,1,6.70$,https://free-electronic.com/product/arduino-uno-r3/
Ultrasonic sensor ,,1,0.77$,https://free-electronic.com/product/ultrasonic-sensor-hc-sr04/
Bluetooth Module,,1,3.73$,https://free-electronic.com/product/bluetooth-module-hc-05-6pin-button/
LCD 16x2,,1,1.24$,https://free-electronic.com/product/lcd1602-blue-backlight-with-soldering-pin-header/
L298 Motor Drive,,1,1.44$,https://free-electronic.com/product/l298-motor-driver-module/
DC motor ,,2,1.72$,https://free-electronic.com/product/dc-motor-180-12v-18v/
Battery Holder ( 9V ),,1,0.23$,https://free-electronic.com/product/battery-holder-9v/
Battery ,,1,2.39$,https://free-electronic.com/product/9v-varta-longlife-power-alkaline-battery/
MQ-2 Gas Sensor,,1,1.34$,https://free-electronic.com/product/mq-2-smoke-gas-lpg-butane-hydrogen-sensor-module/
DHT22  Temp Sensor,,1,2.87$,https://free-electronic.com/product/dht22-digital-humidity-temperature-sensor/
 Buzzer Module,,1,0.48$,https://free-electronic.com/product/passive-buzzer-module/
Breadboard,,1,0.48$,https://free-electronic.com/product/breadboard-soldless-400-tie-points/
,,,21.14$,
